"","verb","model","is_trans","test","item_number","obj_exp","VB","VBD","VBN","total","percent_VBD","percent_VBN","vbd_freq"
"210","ambushed","actionLstm","Trans","transf-mod",5,1.18819999999999,0,2,0,2,1,0,"2"
"211","ambushed","actionLstm","Trans","transf-mod",6,0.84789,0,2,0,2,1,0,"2"
"212","ambushed","actionLstm","Trans","transf-mod",7,0.830980000000004,0,2,0,2,1,0,"2"
"213","ambushed","actionLstm","Trans","transf-mod",8,7.610152,0,2,0,2,1,0,"2"
"214","ambushed","actionLstm","Trans","transf-mod",9,2.90629,0,2,0,2,1,0,"2"
"215","ambushed","actionLstm","Trans","transf-nomod",0,5.77969,0,2,0,2,1,0,"2"
"216","ambushed","actionLstm","Trans","transf-nomod",1,10.69325,0,2,0,2,1,0,"2"
"217","ambushed","actionLstm","Trans","transf-nomod",2,5.12933,0,2,0,2,1,0,"2"
"218","ambushed","actionLstm","Trans","transf-nomod",3,6.28262,0,2,0,2,1,0,"2"
"219","ambushed","actionLstm","Trans","transf-mod",1,2.47653999999999,0,2,0,2,1,0,"2"
"220","ambushed","actionLstm","Trans","transf-mod",2,-0.567239999999998,0,2,0,2,1,0,"2"
"221","ambushed","actionLstm","Trans","transf-mod",3,-0.994369999999996,0,2,0,2,1,0,"2"
"222","ambushed","actionLstm","Trans","transf-longmod",0,2.49627,0,2,0,2,1,0,"2"
"223","ambushed","actionLstm","Trans","transf-longmod",1,0.535220000000002,0,2,0,2,1,0,"2"
"224","ambushed","lstm","Trans","transf-longmod",0,0.620150599999999,0,2,0,2,1,0,"2"
"225","ambushed","lstm","Trans","transf-longmod",1,-0.993684600000002,0,2,0,2,1,0,"2"
"226","ambushed","lstm","Trans","transf-longmod",2,2.7141549,0,2,0,2,1,0,"2"
"227","ambushed","lstm","Trans","transf-longmod",3,1.9969395,0,2,0,2,1,0,"2"
"228","ambushed","lstm","Trans","transf-longmod",4,-0.0878145999999944,0,2,0,2,1,0,"2"
"229","ambushed","lstm","Trans","transf-longmod",5,0.024919299999997,0,2,0,2,1,0,"2"
"230","ambushed","lstm","Trans","transf-longmod",6,-0.389836249999998,0,2,0,2,1,0,"2"
"231","ambushed","lstm","Trans","transf-longmod",7,0.764538000000002,0,2,0,2,1,0,"2"
"232","ambushed","lstm","Trans","transf-longmod",8,0.695219999999999,0,2,0,2,1,0,"2"
"233","ambushed","lstm","Trans","transf-longmod",9,0.624958999999997,0,2,0,2,1,0,"2"
"234","ambushed","lstm","Trans","transf-mod",0,3.7883825,0,2,0,2,1,0,"2"
"235","ambushed","lstm","Trans","transf-mod",1,-8.1419876,0,2,0,2,1,0,"2"
"236","ambushed","lstm","Trans","transf-mod",2,-0.418167699999998,0,2,0,2,1,0,"2"
"237","ambushed","lstm","Trans","transf-mod",3,-0.824089499999999,0,2,0,2,1,0,"2"
"238","ambushed","lstm","Trans","transf-mod",4,2.0939237,0,2,0,2,1,0,"2"
"239","ambushed","lstm","Trans","transf-mod",5,4.17328,0,2,0,2,1,0,"2"
"240","ambushed","lstm","Trans","transf-mod",6,2.7738372,0,2,0,2,1,0,"2"
"241","ambushed","lstm","Trans","transf-mod",7,0.8978258,0,2,0,2,1,0,"2"
"242","ambushed","lstm","Trans","transf-mod",8,0.228771999999999,0,2,0,2,1,0,"2"
"243","ambushed","lstm","Trans","transf-mod",9,1.20496765,0,2,0,2,1,0,"2"
"244","ambushed","lstm","Trans","transf-nomod",0,4.34691764,0,2,0,2,1,0,"2"
"245","ambushed","lstm","Trans","transf-nomod",1,-3.4073293,0,2,0,2,1,0,"2"
"246","ambushed","lstm","Trans","transf-nomod",2,3.0153206,0,2,0,2,1,0,"2"
"247","ambushed","lstm","Trans","transf-nomod",3,6.301286,0,2,0,2,1,0,"2"
"248","ambushed","lstm","Trans","transf-nomod",4,-1.4120685,0,2,0,2,1,0,"2"
"249","ambushed","lstm","Trans","transf-nomod",5,1.88502243,0,2,0,2,1,0,"2"
"250","ambushed","lstm","Trans","transf-nomod",6,7.39720134,0,2,0,2,1,0,"2"
"251","ambushed","lstm","Trans","transf-nomod",7,-0.306183299999994,0,2,0,2,1,0,"2"
"252","ambushed","lstm","Trans","transf-nomod",8,-1.512142,0,2,0,2,1,0,"2"
"253","ambushed","lstm","Trans","transf-nomod",9,1.7360833,0,2,0,2,1,0,"2"
"254","ambushed","rnng","Trans","transf-nomod",8,7.03937999999999,0,2,0,2,1,0,"2"
"255","ambushed","rnng","Trans","transf-nomod",9,-1.16675,0,2,0,2,1,0,"2"
"256","ambushed","rnng","Trans","transf-nomod",0,-0.91619,0,2,0,2,1,0,"2"
"257","ambushed","rnng","Trans","transf-nomod",1,5.42856,0,2,0,2,1,0,"2"
"258","ambushed","rnng","Trans","transf-nomod",2,1.56254,0,2,0,2,1,0,"2"
"259","ambushed","rnng","Trans","transf-mod",9,-2.56877,0,2,0,2,1,0,"2"
"260","ambushed","rnng","Trans","transf-nomod",4,4.43942,0,2,0,2,1,0,"2"
"261","ambushed","rnng","Trans","transf-nomod",5,-3.03699,0,2,0,2,1,0,"2"
"262","ambushed","rnng","Trans","transf-nomod",6,-0.704879999999996,0,2,0,2,1,0,"2"
"263","ambushed","rnng","Trans","transf-nomod",3,-1.91414,0,2,0,2,1,0,"2"
"264","ambushed","actionLstm","Trans","transf-nomod",5,4.33997000000001,0,2,0,2,1,0,"2"
"265","ambushed","actionLstm","Trans","transf-nomod",6,6.73171,0,2,0,2,1,0,"2"
"266","ambushed","actionLstm","Trans","transf-nomod",7,5.66838,0,2,0,2,1,0,"2"
"267","ambushed","rnng","Trans","transf-nomod",7,3.17246,0,2,0,2,1,0,"2"
"268","ambushed","actionLstm","Trans","transf-nomod",9,4.65819,0,2,0,2,1,0,"2"
"269","ambushed","actionLstm","Trans","transf-nomod",4,3.44123,0,2,0,2,1,0,"2"
"270","ambushed","actionLstm","Trans","transf-nomod",8,5.895,0,2,0,2,1,0,"2"
"271","arose","lstm","Intrans","transf-longmod",3,-0.0888779,0,7,0,7,1,0,"10"
"272","arose","lstm","Intrans","transf-longmod",4,0.1918577,0,7,0,7,1,0,"10"
"273","arose","lstm","Intrans","transf-longmod",2,-0.0323795999999987,0,7,0,7,1,0,"10"
"274","arose","lstm","Intrans","transf-mod",5,-0.377132059999997,0,7,0,7,1,0,"10"
"275","arose","lstm","Intrans","transf-mod",6,-1.5217672,0,7,0,7,1,0,"10"
"276","arose","lstm","Intrans","transf-mod",4,0.619540320000002,0,7,0,7,1,0,"10"
"277","arose","lstm","Intrans","transf-longmod",6,0.0196107999999953,0,7,0,7,1,0,"10"
"278","arose","lstm","Intrans","transf-longmod",7,0.224407499999998,0,7,0,7,1,0,"10"
"279","arose","lstm","Intrans","transf-mod",7,-1.12513157,0,7,0,7,1,0,"10"
"280","arose","lstm","Intrans","transf-longmod",5,-1.3146574,0,7,0,7,1,0,"10"
"281","arose","lstm","Intrans","transf-nomod",7,-3.0020999,0,7,0,7,1,0,"10"
"282","arose","lstm","Intrans","transf-nomod",8,2.45507041999999,0,7,0,7,1,0,"10"
"283","arose","lstm","Intrans","transf-nomod",9,2.45507041999999,0,7,0,7,1,0,"10"
"284","arose","rnng","Intrans","transf-nomod",8,-4.0048,0,7,0,7,1,0,"10"
"285","arose","lstm","Intrans","transf-mod",8,-1.05298027,0,7,0,7,1,0,"10"
"286","arose","lstm","Intrans","transf-mod",9,-2.24327255,0,7,0,7,1,0,"10"
"287","arose","lstm","Intrans","transf-nomod",0,3.84898111,0,7,0,7,1,0,"10"
"288","arose","lstm","Intrans","transf-longmod",8,-1.5536952,0,7,0,7,1,0,"10"
